식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D403-145540000-0001,떡국_모듬,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3145,떡국,314554,모듬,31455400,해당없음,0,해당없음,100ml,86,85.3,2.7,0.87,,17.14,0.17,0.5,17.0,0.61,31.0,54.0,204.0,9.0,6.0,38.0,0.024,0.046,0.337,0.19,0.05,16.21,0.27,,3,식품의약품안전처,600ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-146010000-0001,떡만두국_고기만두,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3146,떡만두국,314601,고기만두,31460100,해당없음,0,해당없음,100ml,90,101.9,3.4,1.74,,15.12,0.24,1.2,17.0,0.83,37.0,94.0,169.0,11.0,5.0,67.0,0.093,0.07,0.508,0.24,0.05,15.25,0.6,,3,식품의약품안전처,600ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-146060000-0001,떡만두국_김치만두,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3146,떡만두국,314606,김치만두,31460600,해당없음,0,해당없음,100ml,87,70.8,3.1,1.85,,14.56,0.33,1.3,19.0,0.6,39.0,95.0,232.0,11.0,4.0,77.0,0.059,0.072,0.433,0.35,0.04,12.73,0.57,,3,식품의약품안전처,600ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-148000000-0001,라면,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3148,라면,314800,해당없음,31480000,해당없음,0,해당없음,100ml,79,1.3,1.5,2.52,,12.19,0.01,0.7,40.0,0.08,18.0,38.0,58.0,0.0,0.0,1.0,0.014,0.198,0.156,0.13,0.0,0.0,1.18,,3,식품의약품안전처,590ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-148050000-0001,라면_김치,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3148,라면,314805,김치,31480500,해당없음,0,해당없음,100ml,85,13.0,2.1,2.83,,12.41,0.3,1.0,45.0,0.21,29.0,74.0,109.0,9.0,5.0,47.0,0.022,0.215,0.209,0.51,0.04,12.37,1.25,,3,식품의약품안전처,760ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-148090000-0001,라면_달걀,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3148,라면,314809,달걀,31480900,해당없음,0,해당없음,100ml,95,8.7,2.6,3.32,,13.16,0.08,0.8,46.0,0.24,32.0,53.0,72.0,11.0,9.0,16.0,0.021,0.237,0.175,0.2,0.08,23.0,1.45,,3,식품의약품안전처,642ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-075480000-0001,오징어 덮밥_채소,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1075,오징어 덮밥,107548,채소,10754800,해당없음,0,해당없음,100ml,91,54.6,5.1,1.33,,14.49,1.76,1.1,10.0,0.18,73.0,142.0,137.0,20.0,0.0,243.0,0.044,0.046,0.193,1.67,1.16,44.43,0.25,,3,식품의약품안전처,900ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-076000000-0001,옥수수밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1076,옥수수밥,107600,해당없음,10760000,해당없음,0,해당없음,100ml,113,5.8,2.1,0.34,,24.39,0.25,0.6,2.0,0.09,33.0,33.0,4.0,0.0,0.0,0.0,0.041,0.01,0.375,0.14,0.0,0.0,0.09,,3,식품의약품안전처,450ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-077000000-0001,완두콩밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1077,완두콩밥,107700,해당없음,10770000,해당없음,0,해당없음,100ml,114,5.6,2.2,0.33,,24.47,0.14,0.7,3.0,0.12,35.0,36.0,1.0,1.0,0.0,8.0,0.049,0.011,0.405,0.26,0.0,0.0,0.09,,3,식품의약품안전처,250ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-078000000-0001,유부 초밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1078,유부 초밥,107800,해당없음,10780000,해당없음,0,해당없음,100ml,199,11.0,5.8,6.92,,27.04,2.2,0.9,89.0,0.87,94.0,52.0,134.0,0.0,0.0,1.0,0.057,0.055,0.449,0.02,0.0,0.0,1.11,,3,식품의약품안전처,300ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
