식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D220-748000000-0972,커피_에스프레소 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,17,,1.0,,,,0.0,,,,,,3.0,,,,,,,,,,0.0,,3,식품의약품안전처,30g,카페루앤비,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0973,커피_에스프레소 핫(HOT) (더블),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,21,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,58g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0974,커피_에스프레소 핫(HOT) (싱글),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,21,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,29g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0975,커피_연유 라떼 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,64,,2.03,,,,6.77,,,,,,28.0,,,,,,,,,,1.52,,3,식품의약품안전처,591g,더벤티,2,수집,2023-06-22,2025-04-08,1471000,식품의약품안전처
D220-748000000-0976,커피_연유 라떼 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,64,,1.95,,,7.99,7.05,,,,,,35.0,,,,,,,,,0.0,1.64,,3,식품의약품안전처,650g,바나프레소,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0977,커피_연유 라떼 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,121,,2.58,,,,3.23,,,,,,33.0,,,,,,,,,,1.61,,3,식품의약품안전처,310g,베러댄와플,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0978,커피_연유 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,76,,2.54,,,,7.61,,,,,,36.0,,,,,,,,,,1.86,,3,식품의약품안전처,591g,더벤티,2,수집,2023-06-22,2025-04-08,1471000,식품의약품안전처
D220-748000000-0979,커피_연유 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,97,,3.14,,,11.39,10.16,,,,,,56.0,,,,,,,,,0.0,2.63,,3,식품의약품안전처,500g,바나프레소,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0980,커피_연유 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,113,,2.67,,,,3.33,,,,,,34.0,,,,,,,,,,1.67,,3,식품의약품안전처,300g,베러댄와플,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0981,커피_오트카페 라떼 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,26,,0.34,,,,1.18,,,,,,17.0,,,,,,,,,,0.17,,3,식품의약품안전처,591g,더벤티,2,수집,2023-06-22,2025-04-08,1471000,식품의약품안전처
D220-748000000-0982,커피_오트카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,39,,0.51,,,,1.86,,,,,,27.0,,,,,,,,,,0.17,,3,식품의약품안전처,591g,더벤티,2,수집,2023-06-22,2025-04-08,1471000,식품의약품안전처
D220-748000000-0983,커피_자이언트 아메리카노 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.0,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,3,식품의약품안전처,940g,카페게이트,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0984,커피_제로슈가 스위트 아메리카노 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,0,,0.03,0.0,,2.37,0.0,,,,,,2.0,,,,,,,,,0.0,0.0,,3,식품의약품안전처,650g,바나프레소,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0985,커피_제로슈가 스위트 아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,0,,0.04,0.0,,3.08,0.0,,,,,,2.0,,,,,,,,,0.0,0.0,,3,식품의약품안전처,500g,바나프레소,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0986,커피_청자다방커피,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,40,,0.83,,,,4.91,,,,,,4.0,,,,,,,,,,0.79,,3,식품의약품안전처,100g,청자다방,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0987,커피_카라멜 라떼 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,31,,1.36,,,,2.14,,,,,,22.0,,,,,,,,,,1.07,,3,식품의약품안전처,420g,카페루앤비,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0988,커피_카라멜 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,50,,2.17,,,,3.47,,,,,,35.0,,,,,,,,,,1.67,,3,식품의약품안전처,360g,카페루앤비,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0989,커피_카라멜 마끼아또 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,48,,1.15,,,,6.68,,,,,,20.0,,,,,,,,,,1.0,,3,식품의약품안전처,946g,아임일리터,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0952,커피_아메리카노 핫(HOT) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,11,,0.03,,,,0.0,,,,,,1.0,,,,,,,,,,0.06,,3,식품의약품안전처,340g,커피:니,2,수집,2023-09-19,2025-04-08,1471000,식품의약품안전처
D220-748000000-0953,커피_아메리카노 핫(HOT) (S),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,4,,0.28,,,,,,,,,,0.0,,,,,,,,,,,,3,식품의약품안전처,354g,스무디킹,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0954,커피_아메리카노 핫(HOT) (XL),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.21,,,,0.0,,,,,,5.0,,,,,,,,,,0.11,,3,식품의약품안전처,560g,팔공티,2,수집,2023-09-26,2025-04-08,1471000,식품의약품안전처
D220-748000000-0955,커피_아몬드 라떼 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,41,,1.34,,,,5.11,,,,,,21.0,,,,,,,,,,,,3,식품의약품안전처,591g,매머드 익스프레스,2,수집,2023-06-23,2025-04-08,1471000,식품의약품안전처
D220-748000000-0956,커피_아몬드 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,62,,2.18,,,,7.15,,,,,,34.0,,,,,,,,,,,,3,식품의약품안전처,473g,매머드 익스프레스,2,수집,2023-06-23,2025-04-08,1471000,식품의약품안전처
D220-748000000-0957,커피_아인슈페너,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,69,,0.33,,,,1.33,,,,,,14.0,,,,,,,,,,4.33,,3,식품의약품안전처,300g,베러댄와플,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0958,커피_아인슈페너 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,135,,1.21,,,,8.45,,,,,,17.0,,,,,,,,,,7.25,,3,식품의약품안전처,414g,더벤티,2,수집,2023-06-22,2025-04-08,1471000,식품의약품안전처
D220-748000000-0959,커피_아인슈페너 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,60,,1.26,,,,3.62,,,,,,20.0,,,,,,,,,,,,3,식품의약품안전처,414g,매머드 익스프레스,2,수집,2023-06-23,2025-04-08,1471000,식품의약품안전처
D220-748000000-0960,커피_아인슈페너 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,23,,0.17,,,,0.17,,,,,,9.0,,,,,,,,,,1.35,,3,식품의약품안전처,591g,카페게이트,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0961,커피_아인슈페너 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,115,,1.69,,,,7.97,,,,,,22.0,,,,,,,,,,5.56,,3,식품의약품안전처,414g,더벤티,2,수집,2023-06-22,2025-04-08,1471000,식품의약품안전처
D220-748000000-0962,커피_아인슈페너 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,21,,0.15,,,,0.15,,,,,,9.0,,,,,,,,,,1.23,,3,식품의약품안전처,650g,카페게이트,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0963,커피_아포가토,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,181,,3.3,10.32,,18.64,16.65,,,,,,87.0,,,,,,,,,,6.42,,3,식품의약품안전처,155g,롤링핀,2,수집,2023-10-31,2025-04-08,1471000,식품의약품안전처
D220-748000000-0964,커피_아포가토 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,102,,0.85,,,,8.46,,,,,,24.0,,,,,,,,,,2.85,,3,식품의약품안전처,130g,커피:니,2,수집,2023-09-19,2025-04-08,1471000,식품의약품안전처
D220-748000000-0965,커피_약과 크림커피 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,86,,1.52,,,,8.97,,,,,,31.0,,,,,,,,,,2.37,,3,식품의약품안전처,591g,더벤티,2,수집,2023-09-01,2025-04-08,1471000,식품의약품안전처
D220-748000000-0966,커피_약과 크림커피 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,93,,1.86,,,,9.48,,,,,,37.0,,,,,,,,,,2.54,,3,식품의약품안전처,591g,더벤티,2,수집,2023-09-01,2025-04-08,1471000,식품의약품안전처
D220-748000000-0967,커피_에스프레소,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.3,0.0,,0.9,0.0,,,,,,17.0,,,,,,,,,0.0,0.0,,3,식품의약품안전처,60g,바나프레소,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0968,커피_에스프레소,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.18,,,,0.0,,,,,,7.0,,,,,,,,,,0.0,,3,식품의약품안전처,113g,블루샥,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0969,커피_에스프레소 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,11,,0.03,,,,0.0,,,,,,1.0,,,,,,,,,,0.06,,3,식품의약품안전처,340g,커피:니,2,수집,2023-09-19,2025-04-08,1471000,식품의약품안전처
D220-748000000-0970,커피_에스프레소 마끼야토 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,17,,1.0,,,,0.0,,,,,,3.0,,,,,,,,,,0.0,,3,식품의약품안전처,30g,카페루앤비,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0933,커피_아메리카노 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.0,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,3,식품의약품안전처,650g,카페게이트,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0934,커피_아메리카노 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,1,,0.07,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,420g,카페루앤비,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0935,커피_아메리카노 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,16,,0.04,,,,0.0,,,,,,1.0,,,,,,,,,,0.09,,3,식품의약품안전처,450g,커피:니,2,수집,2023-09-19,2025-04-08,1471000,식품의약품안전처
D220-748000000-0936,커피_아메리카노 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.2,,,,0.0,,,,,,4.0,,,,,,,,,,0.1,,3,식품의약품안전처,410g,팔공티,2,수집,2023-09-26,2025-04-08,1471000,식품의약품안전처
D220-748000000-0937,커피_아메리카노 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.21,,,,,,,,,,0.0,,,,,,,,,,,,3,식품의약품안전처,473g,스무디킹,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0938,커피_아메리카노 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,9,,0.03,,,,0.0,,,,,,0.0,,,,,,,,,,0.05,,3,식품의약품안전처,400g,커피:니,2,수집,2023-09-19,2025-04-08,1471000,식품의약품안전처
D220-748000000-0939,커피_아메리카노 아이스(ICED) (S),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.28,,,,,,,,,,0.0,,,,,,,,,,,,3,식품의약품안전처,354g,스무디킹,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0940,커피_아메리카노 아이스(ICED) (XL),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.21,,,,0.0,,,,,,4.0,,,,,,,,,,0.1,,3,식품의약품안전처,630g,팔공티,2,수집,2023-09-26,2025-04-08,1471000,식품의약품안전처
D220-748000000-0941,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.28,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,355g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0942,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.17,,,,,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,591g,더벤티,2,수집,2023-06-22,2025-04-08,1471000,식품의약품안전처
D220-748000000-0943,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.15,,,,,,,,,,0.0,,,,,,,,,,,,3,식품의약품안전처,473g,매머드 익스프레스,2,수집,2023-06-23,2025-04-08,1471000,식품의약품안전처
D220-748000000-0944,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,0,,0.04,0.0,,0.11,0.0,,,,,,2.0,,,,,,,,,0.0,0.0,,3,식품의약품안전처,500g,바나프레소,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0945,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.0,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,340g,베러댄와플,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0946,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,4,,0.23,,,,0.0,,,,,,3.0,,,,,,,,,,0.0,,3,식품의약품안전처,473g,블루샥,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0947,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.0,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,710g,카페게이트,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0948,커피_아메리카노 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,1,,0.08,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,360g,카페루앤비,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0949,커피_아메리카노 핫(HOT) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,19,,0.05,,,,0.0,,,,,,1.0,,,,,,,,,,0.1,,3,식품의약품안전처,400g,커피:니,2,수집,2023-09-19,2025-04-08,1471000,식품의약품안전처
D220-748000000-0950,커피_아메리카노 핫(HOT) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,3,,0.21,,,,0.0,,,,,,5.0,,,,,,,,,,0.1,,3,식품의약품안전처,390g,팔공티,2,수집,2023-09-26,2025-04-08,1471000,식품의약품안전처
D220-748000000-0951,커피_아메리카노 핫(HOT) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,4,,0.21,,,,,,,,,,0.0,,,,,,,,,,,,3,식품의약품안전처,473g,스무디킹,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0914,커피_아메리카노 I’m D 핫(HOT) (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,1,,0.08,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,591g,아임일리터,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0915,커피_아메리카노 다크퍼플 아이스(ICED) (K(코끼리)),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.62,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,650g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0916,커피_아메리카노 다크퍼플 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.21,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,473g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0917,커피_아메리카노 다크퍼플 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.28,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,355g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0918,커피_아메리카노 다크퍼플 핫(HOT) (K(코끼리)),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.62,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,650g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0919,커피_아메리카노 다크퍼플 핫(HOT) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.21,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,473g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0920,커피_아메리카노 다크퍼플 핫(HOT) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.28,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,355g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0921,커피_아메리카노 마일드 그린 아이스(ICED) (K(코끼리)),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.62,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,650g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0922,커피_아메리카노 마일드 그린 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.21,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,473g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0923,커피_아메리카노 마일드 그린 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.28,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,355g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0924,커피_아메리카노 마일드 그린 핫(HOT) (K(코끼리)),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.62,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,650g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0925,커피_아메리카노 마일드 그린 핫(HOT) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.21,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,473g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0926,커피_아메리카노 마일드 그린 핫(HOT) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.28,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,3,식품의약품안전처,355g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
D220-748000000-0927,커피_아메리카노 아이스(ICED),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,0,해당없음,100ml,2,,0.28,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,3,식품의약품안전처,355g,달콤,2,수집,2023-06-30,2025-04-08,1471000,식품의약품안전처
